"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
"279",5,10707755,"Cents, Waassertuerm","",0,,,1,
"279",6,10794207,"Cents, Waassertuerm","",0,,,1,
"279",2,10707698,"Cents, Waassertuerm","",0,,,1,
"279",5,10707754,"Cents, Waassertuerm","",0,,,1,
"279",2,10707803,"Cents, Waassertuerm","",0,,,1,
"279",5,10707804,"Cents, Waassertuerm","",0,,,1,
"279",6,10794276,"Cents, Waassertuerm","",0,,,1,
"279",2,10707802,"Cents, Waassertuerm","",0,,,1,
"279",4,10707684,"Cents, Waassertuerm","",0,,,1,
"279",4,10707683,"Cents, Waassertuerm","",0,,,1,
"279",4,10707682,"Cents, Waassertuerm","",0,,,1,
"279",4,10707681,"Cents, Waassertuerm","",0,,,1,
"279",4,10707680,"Cents, Waassertuerm","",0,,,1,
"279",4,10707679,"Cents, Waassertuerm","",0,,,1,
"279",4,10707678,"Cents, Waassertuerm","",0,,,1,
"279",2,10707531,"Hamm, Rue de Bitbourg","",1,,,1,
"279",4,10707551,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707607,"Hamm, Rue de Bitbourg","",1,,,1,
"279",3,10707550,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707606,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707605,"Hamm, Rue de Bitbourg","",1,,,1,
"279",3,10707549,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707604,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707603,"Hamm, Rue de Bitbourg","",1,,,1,
"279",3,10707548,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707602,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707601,"Hamm, Rue de Bitbourg","",1,,,1,
"279",3,10707547,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707600,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707676,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707599,"Hamm, Rue de Bitbourg","",1,,,1,
"279",6,10794138,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707675,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707598,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707674,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707597,"Hamm, Rue de Bitbourg","",1,,,1,
"279",6,10794137,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707673,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707596,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707672,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707595,"Hamm, Rue de Bitbourg","",1,,,1,
"279",6,10794136,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707671,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707594,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707670,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707593,"Hamm, Rue de Bitbourg","",1,,,1,
"279",6,10794135,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707669,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707592,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707668,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707591,"Hamm, Rue de Bitbourg","",1,,,1,
"279",6,10794134,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707667,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707590,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707666,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707589,"Hamm, Rue de Bitbourg","",1,,,1,
"279",6,10794133,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707665,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707588,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707664,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707587,"Hamm, Rue de Bitbourg","",1,,,1,
"279",6,10794132,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707663,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707586,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707662,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707585,"Hamm, Rue de Bitbourg","",1,,,1,
"279",6,10794077,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707661,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707584,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707660,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707583,"Hamm, Rue de Bitbourg","",1,,,1,
"279",6,10794076,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707659,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707582,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707658,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707581,"Hamm, Rue de Bitbourg","",1,,,1,
"279",6,10794075,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707657,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707580,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707656,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707579,"Hamm, Rue de Bitbourg","",1,,,1,
"279",6,10794074,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707655,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707578,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707654,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707577,"Hamm, Rue de Bitbourg","",1,,,1,
"279",6,10794073,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707653,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707576,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707652,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707575,"Hamm, Rue de Bitbourg","",1,,,1,
"279",6,10794072,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707651,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707574,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707650,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707573,"Hamm, Rue de Bitbourg","",1,,,1,
"279",6,10794071,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707649,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707572,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707648,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707571,"Hamm, Rue de Bitbourg","",1,,,1,
"279",6,10794070,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707647,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707570,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707646,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707569,"Hamm, Rue de Bitbourg","",1,,,1,
"279",6,10794069,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707645,"Hamm, Rue de Bitbourg","",1,,,1,
"279",2,10707568,"Hamm, Rue de Bitbourg","",1,,,1,
"279",5,10707644,"Hamm, Rue de Bitbourg","",1,,,1,
